model,factor,level,total,anomalies,normals,recall,fpr,abstention_rate,recall_effect_vs_overall,fpr_effect_vs_overall,interpretation
C1,feature_availability,load_weather_unavailable_no_imputation,46,17,29,0.76470588,0.06896552,0.00000000,0.03322440,-0.04214559,controlled_generated_factor_effect_not_actual_region_effect
C1,feature_availability,phase_unavailable,72,36,36,0.69444444,0.11111111,0.00000000,-0.03703704,0.00000000,controlled_generated_factor_effect_not_actual_region_effect
C1,feature_availability,weather_unavailable,83,39,44,0.74358974,0.11363636,0.00000000,0.01210826,0.00252525,controlled_generated_factor_effect_not_actual_region_effect
C1,scenario_type,allowed_partial_operation,36,0,36,,0.00000000,0.00000000,,-0.11111111,controlled_generated_factor_effect_not_actual_region_effect
C1,scenario_type,deep_day_full_activation,24,24,0,0.58333333,,0.00000000,-0.14814815,,controlled_generated_factor_effect_not_actual_region_effect
C1,scenario_type,deep_day_partial_activation,36,36,0,0.66666667,,0.00000000,-0.06481481,,controlled_generated_factor_effect_not_actual_region_effect
C1,scenario_type,feature_missing_normal,24,0,24,,0.00000000,0.00000000,,-0.11111111,controlled_generated_factor_effect_not_actual_region_effect
C1,scenario_type,high_cloud_or_rainfall_hard_negative,24,0,24,,1.00000000,0.00000000,,0.88888889,controlled_generated_factor_effect_not_actual_region_effect
C1,scenario_type,moderate_load_mismatch,24,24,0,0.50000000,,0.00000000,-0.23148148,,controlled_generated_factor_effect_not_actual_region_effect
C1,scenario_type,normal_full_operation,36,0,36,,0.00000000,0.00000000,,-0.11111111,controlled_generated_factor_effect_not_actual_region_effect
C1,scenario_type,partial_activation_long_persistence,24,24,0,1.00000000,,0.00000000,0.26851852,,controlled_generated_factor_effect_not_actual_region_effect
C1,scenario_type,phase_anomaly_moderate_activation,24,24,0,1.00000000,,0.00000000,0.26851852,,controlled_generated_factor_effect_not_actual_region_effect
C1,scenario_type,phase_selective_activation,24,24,0,0.50000000,,0.00000000,-0.23148148,,controlled_generated_factor_effect_not_actual_region_effect
C1,scenario_type,post_sunrise_persistent_activation,36,36,0,0.66666667,,0.00000000,-0.06481481,,controlled_generated_factor_effect_not_actual_region_effect
C1,scenario_type,short_transient_spike,36,0,36,,0.00000000,0.00000000,,-0.11111111,controlled_generated_factor_effect_not_actual_region_effect
C1,scenario_type,temporary_load_fluctuation,24,0,24,,0.00000000,0.00000000,,-0.11111111,controlled_generated_factor_effect_not_actual_region_effect
C1,scenario_type,twilight_boundary_operation,36,0,36,,0.00000000,0.00000000,,-0.11111111,controlled_generated_factor_effect_not_actual_region_effect
C1,scenario_type,weak_long_duration_activation,24,24,0,1.00000000,,0.00000000,0.26851852,,controlled_generated_factor_effect_not_actual_region_effect
C1,severity,moderate,71,71,0,1.00000000,,0.00000000,0.26851852,,controlled_generated_factor_effect_not_actual_region_effect
C1,severity,none,216,0,216,,0.11111111,0.00000000,,0.00000000,controlled_generated_factor_effect_not_actual_region_effect
C1,severity,strong,73,73,0,1.00000000,,0.00000000,0.26851852,,controlled_generated_factor_effect_not_actual_region_effect
C1,severity,weak,72,72,0,0.19444444,,0.00000000,-0.53703704,,controlled_generated_factor_effect_not_actual_region_effect
C2,region,chungju,144,72,72,0.75000000,0.11111111,0.00000000,0.01851852,0.00000000,controlled_generated_factor_effect_not_actual_region_effect
C2,region,gangneung,144,72,72,0.72222222,0.11111111,0.02777778,-0.00925926,0.00000000,controlled_generated_factor_effect_not_actual_region_effect
C2,region,suyeong,144,72,72,0.72222222,0.11111111,0.01388889,-0.00925926,0.00000000,controlled_generated_factor_effect_not_actual_region_effect
C2,season,autumn,108,54,54,0.72222222,0.11111111,0.01851852,-0.00925926,0.00000000,controlled_generated_factor_effect_not_actual_region_effect
C2,season,spring,108,54,54,0.72222222,0.11111111,0.00925926,-0.00925926,0.00000000,controlled_generated_factor_effect_not_actual_region_effect
C2,season,summer,108,54,54,0.74074074,0.11111111,0.01851852,0.00925926,0.00000000,controlled_generated_factor_effect_not_actual_region_effect
C2,season,winter,108,54,54,0.74074074,0.11111111,0.00925926,0.00925926,0.00000000,controlled_generated_factor_effect_not_actual_region_effect
C2,region_x_season,chungju:autumn,36,18,18,0.72222222,0.11111111,0.00000000,-0.00925926,0.00000000,controlled_generated_factor_effect_not_actual_region_effect
