dimension,group,count,mean_days,median_days,p75_days,p90_days,p95_days,same_day_rate,within_1d_rate,within_3d_rate,within_7d_rate
month,2022-01,1409,1.3534421575585522,0,1.0,5.0,8.0,0.723207948899929,0.7955997161107168,0.843860894251242,0.9453513129879347
month,2022-02,1440,1.7958333333333334,0.0,1.0,7.0,10.0,0.6902777777777778,0.7680555555555556,0.8416666666666667,0.9180555555555555
month,2022-03,1511,1.2084712111184646,0,0.0,5.0,8.0,0.8060886829913965,0.8411647915287889,0.8755790866975512,0.9358041032428855
month,2022-04,1584,2.331439393939394,0.0,1.0,10.0,14.0,0.7285353535353535,0.7714646464646465,0.8213383838383839,0.8813131313131313
month,2022-05,1726,2.2334878331402086,0.0,1.0,8.0,13.75,0.7143684820393974,0.7856315179606026,0.8424101969872537,0.8922363847045192
month,2022-06,1552,2.130798969072165,0.0,1.0,7.0,14.0,0.7036082474226805,0.7822164948453608,0.8356958762886598,0.913659793814433
month,2022-07,1533,3.4337899543378994,0,2.0,11.0,18.0,0.6679712981082844,0.7286366601435095,0.776908023483366,0.8571428571428571
month,2022-08,1700,4.534117647058824,0.0,1.0,22.0,29.0,0.7288235294117648,0.7635294117647059,0.7970588235294118,0.8223529411764706
month,2022-09,1671,3.130460801915021,0,2.0,12.0,21.0,0.6912028725314183,0.7348892878515859,0.7785757031717534,0.83901855176541
month,2022-10,1566,1.5772669220945084,0.0,1.0,7.0,11.0,0.7445721583652618,0.8186462324393359,0.851213282247765,0.901021711366539
month,2022-11,1846,2.7351029252437704,0.0,1.0,11.0,20.0,0.6977248104008668,0.7627302275189599,0.8212351029252438,0.866738894907909
month,2022-12,1591,1.7906976744186047,0,1.0,7.0,11.0,0.7058453802639849,0.7800125707102451,0.8346951602765557,0.9107479572595851
month,2023-01,1401,1.833690221270521,0,2.0,7.0,9.0,0.6416845110635261,0.7323340471092077,0.8087080656673804,0.9179157744468237
month,2023-02,1658,1.793124246079614,0.0,2.0,7.0,9.0,0.6881785283474066,0.7358262967430639,0.8190591073582629,0.9306393244873341
month,2023-03,1890,1.705820105820106,0.0,1.0,6.0,13.0,0.7137566137566138,0.7878306878306879,0.8576719576719577,0.9211640211640212
month,2023-04,1567,3.0880663688576897,0,1.0,12.0,20.0,0.7141033822590938,0.7734524569240587,0.8219527760051053,0.8717294192724953
month,2023-05,1538,3.5487646293888164,0.0,2.0,15.0,19.0,0.6853055916775033,0.7483745123537061,0.7769830949284785,0.8140442132639792
month,2023-06,1340,3.3455223880597016,0.0,1.0,14.0,21.0,0.741044776119403,0.7716417910447761,0.814179104477612,0.8470149253731343
month,2023-07,1632,4.142156862745098,0.0,1.0,21.0,29.0,0.7365196078431373,0.7800245098039216,0.8026960784313726,0.8314950980392157
month,2023-08,1647,4.517304189435337,0,1.0,19.0,27.0,0.7225258044930176,0.7547055251973285,0.7710989678202793,0.7941712204007286
month,2023-09,1504,3.7852393617021276,0.0,1.0,17.0,28.0,0.7240691489361702,0.7686170212765957,0.7965425531914894,0.8417553191489362
month,2023-10,1620,4.461728395061728,0.0,2.0,17.0,30.0,0.6753086419753086,0.737037037037037,0.7691358024691358,0.8382716049382716
month,2023-11,1462,4.06703146374829,0.0,2.0,17.0,21.0,0.7038303693570451,0.7359781121751026,0.7783857729138167,0.8461012311901505
month,2023-12,1523,3.045961917268549,0,2.0,10.799999999999955,18.0,0.6887721602101117,0.747209455022981,0.7760998030203545,0.8699934340118188
month,2024-01,1728,3.5104166666666665,0.0,5.0,10.0,15.0,0.6070601851851852,0.6516203703703703,0.7199074074074074,0.8425925925925926
month,2024-02,1215,3.4008230452674897,0,3.0,9.0,14.299999999999955,0.7094650205761317,0.7415637860082305,0.7555555555555555,0.8510288065843621
month,2024-03,1266,2.5916271721958926,0.0,1.0,7.0,13.0,0.7369668246445498,0.778041074249605,0.8309636650868878,0.9139020537124802
month,2024-04,1589,2.923851478917558,0,1.0,11.200000000000045,19.0,0.7400881057268722,0.7734424166142227,0.8225298930144745,0.8672120830711139
month,2024-05,1502,3.087882822902796,0.0,0.0,11.0,23.0,0.7576564580559254,0.7996005326231691,0.8209054593874834,0.8834886817576565
month,2024-06,1246,2.561797752808989,0.0,1.0,10.0,14.0,0.7247191011235955,0.7744783306581059,0.7945425361155698,0.8764044943820225
month,2024-07,1890,3.617989417989418,0.0,0.0,15.0,28.0,0.7862433862433862,0.8275132275132275,0.846031746031746,0.8714285714285714
month,2024-08,1699,4.137728075338434,0,0.0,14.0,31.0,0.8181283107710418,0.8387286639199529,0.8534432018834609,0.8693349028840495
month,2024-09,1486,5.221399730820996,0.0,1.0,24.0,38.0,0.7489905787348586,0.7866756393001346,0.8041722745625841,0.8324360699865411
month,2024-10,1666,4.599639855942377,0.0,0.0,18.0,29.0,0.7641056422569028,0.7797118847539015,0.8091236494597839,0.8475390156062425
month,2024-11,1443,2.9404019404019404,0,0.0,13.0,22.0,0.8108108108108109,0.8309078309078309,0.853083853083853,0.8752598752598753
month,2024-12,1363,3.6515040352164343,0,0.0,13.0,30.799999999999727,0.8011738811445341,0.8305209097578871,0.8473954512105649,0.8694057226705796
month,2025-01,1469,3.597004765146358,0,0.0,11.200000000000045,34.59999999999991,0.7944179714091218,0.8270932607215793,0.8618107556160653,0.8883594281824371
