cabinet_uid,municipality_id,source_cabinet_key,cabinet_name,latitude,longitude,fixture_rows,lamp_count,rated_power_w,controller_type,controller_link_status,address,source_file
SY-CAB-c3d2aa0721,suyeong,광안해변로-22  (14),광안해변로-22  (14),35.163805010000004,129.12809675,14,14,1680.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-84f0d25e33,suyeong,광안해변로-3 불꽃놀이 (22),광안해변로-3 불꽃놀이 (22),35.13941527,129.1152968,25,27,3890.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-56c8e0734a,suyeong,광안해변로-4(조도) (21),광안해변로-4(조도) (21),35.14301845,129.1151511,21,21,4200.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-a715479152,suyeong,광안해변로-5(조도) (23),광안해변로-5(조도) (23),35.142348580000004,129.11489435,44,44,5075.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-a9d5cc164f,suyeong,광안해변로-6_불꽃놀이 (13),광안해변로-6_불꽃놀이 (13),35.14581215,129.11777734999998,14,14,2320.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-7b2542c2bd,suyeong,광안해변로-8 불꽃놀이 (15),광안해변로-8 불꽃놀이 (15),35.14803017,129.1147523,15,15,3000.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-c5506ce2f7,suyeong,광안해변로-9 불꽃놀이 (10),광안해변로-9 불꽃놀이 (10),35.15098281,129.1165247,10,10,2000.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-8a36544a30,suyeong,광안해변로15-1 (13),광안해변로15-1 (13),35.13839171,129.1106997,21,21,2350.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-cf229f9f07,suyeong,광안해변로255-1 (8),광안해변로255-1 (8),35.15648692,129.1211414,8,8,960.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-933e0543f6,suyeong,광안해변로295-1  (13),광안해변로295-1  (13),35.15767847,129.1251007,13,13,1560.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-ca98038b60,suyeong,광안해변로312-1  (7),광안해변로312-1  (7),35.15635769,129.1277101,7,7,1090.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-b7da6f9acf,suyeong,광안해변로326-1  (30),광안해변로326-1  (30),35.15548208,129.1291164,35,35,4410.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-2aa1ae2a5f,suyeong,광일로-1 (33),광일로-1 (33),35.16241488,129.1095522,35,35,3775.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-3fd618fd12,suyeong,광일로46-1  (17),광일로46-1  (17),35.1641418,129.1082221,17,17,2125.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-b8be8cec6d,suyeong,구락로-1 (21),구락로-1 (21),35.17130938,129.1195482,21,21,2420.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-6dc9777a03,suyeong,구락로-2 (11),구락로-2 (11),35.17515753,129.1171919,21,21,3100.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-c571e98945,suyeong,구락로-3 (13),구락로-3 (13),35.17860135,129.1159785,13,13,1300.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-e263d3fdfa,suyeong,구락로-4 (15),구락로-4 (15),35.17951076,129.115355,15,15,2250.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-5712016b2e,suyeong,구락로141-1 (19),구락로141-1 (19),35.17783781,129.1130478,19,19,2850.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-d47a90f94c,suyeong,구락로153-1 (11),구락로153-1 (11),35.17975722,129.1139789,11,11,550.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-a96e62a3bc,suyeong,금련로43-1 (11),금련로43-1 (11),35.17109875,129.0980132,11,11,1300.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-e0188b6a4c,suyeong,남천동로-1 (9),남천동로-1 (9),35.14234929,129.1104838,9,9,900.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
