controller_uid,municipality_id,cabinet_uid,company_code,cabinet_code,cabinet_seq,operation_mode,switch_model,modem_type,modem_id,on_offset_min,off_offset_min,voltage_setting,sequential_control,forced_time,latitude,longitude,address,source_file,source_row
GN-CTL-4da8757142,gangneung,GN-CAB-4da8757142,KNI,YB,22,0,GMC-200,3,22,-15.0,10.0,220.0,1,100,37.7879342,128.8939244,강원특별자치도 강릉시 운정동 732,강원특별자치도 강릉시_분전함_20230820.csv,57
GN-CTL-feb21406a2,gangneung,GN-CAB-feb21406a2,KNI,YB,23,0,GMC-200,3,23,-15.0,10.0,220.0,1,100,37.7638691,128.9079008,강원특별자치도 강릉시 포남동 1144-2,강원특별자치도 강릉시_분전함_20230820.csv,58
GN-CTL-6ee3db6979,gangneung,GN-CAB-6ee3db6979,KNC,YB,23,0,GMC-200S,3,23,-20.0,5.0,220.0,1,1,37.7638177,128.9077645,강원특별자치도 강릉시 포남동 1197-35,강원특별자치도 강릉시_분전함_20230820.csv,59
GN-CTL-f6bdead4fa,gangneung,GN-CAB-f6bdead4fa,KNI,YB,24,0,GMC-200,3,24,-36.0,10.0,220.0,1,100,37.7518556,128.894159,강원특별자치도 강릉시 성내동 14-3,강원특별자치도 강릉시_분전함_20230820.csv,60
GN-CTL-bb23d69cea,gangneung,GN-CAB-bb23d69cea,KNC,YB,24,0,GMC-200S,3,24,-20.0,5.0,220.0,1,1,37.751588,128.894347,강원특별자치도 강릉시 성내동 17-2,강원특별자치도 강릉시_분전함_20230820.csv,61
GN-CTL-708959e7ee,gangneung,GN-CAB-708959e7ee,KNC,YB,25,0,GMC-200S,3,25,-20.0,5.0,220.0,1,20,37.7503046,128.8950682,강원특별자치도 강릉시 남문동 50-2,강원특별자치도 강릉시_분전함_20230820.csv,62
GN-CTL-877d04d763,gangneung,GN-CAB-877d04d763,KNI,YB,25,0,GMC-200,3,25,-15.0,10.0,220.0,1,100,37.7502613,128.8952745,강원특별자치도 강릉시 성남동 284,강원특별자치도 강릉시_분전함_20230820.csv,63
GN-CTL-c8ae3a7dca,gangneung,GN-CAB-c8ae3a7dca,KNC,YB,26,0,GMC-200S,3,26,-20.0,5.0,220.0,1,30,37.7547911,128.9026602,강원특별자치도 강릉시 성남동 292,강원특별자치도 강릉시_분전함_20230820.csv,64
GN-CTL-94197dd303,gangneung,GN-CAB-94197dd303,KNI,YB,26,0,GMC-200,3,26,-15.0,10.0,220.0,1,60,37.7547911,128.9026602,강원특별자치도 강릉시 성남동 292,강원특별자치도 강릉시_분전함_20230820.csv,65
GN-CTL-1cc6c66495,gangneung,GN-CAB-1cc6c66495,KNC,YB,27,0,GMC-200S,3,27,-20.0,5.0,220.0,5,60,37.7634166,128.9069986,강원특별자치도 강릉시 포남동 1133-1,강원특별자치도 강릉시_분전함_20230820.csv,66
GN-CTL-96036e88d1,gangneung,GN-CAB-96036e88d1,KNI,YB,27,0,GMC-200,3,27,-15.0,5.0,220.0,5,60,37.7634166,128.9069986,강원특별자치도 강릉시 포남동 1133-1,강원특별자치도 강릉시_분전함_20230820.csv,67
GN-CTL-7676cab0e2,gangneung,GN-CAB-7676cab0e2,KNI,YB,28,0,GMC-200,3,28,-15.0,10.0,220.0,1,60,37.7667759,128.9106831,강원특별자치도 강릉시 포남동 1171-15,강원특별자치도 강릉시_분전함_20230820.csv,68
GN-CTL-52d6fac39d,gangneung,GN-CAB-52d6fac39d,KNC,YB,28,0,GMC-200S,3,28,-20.0,5.0,220.0,1,60,37.7668019,128.9106013,강원특별자치도 강릉시 포남동 1197-16,강원특별자치도 강릉시_분전함_20230820.csv,69
GN-CTL-20d0338983,gangneung,GN-CAB-20d0338983,KNI,YB,29,0,GMC-200,3,29,-15.0,10.0,220.0,1,60,37.7726162,128.9458749,강원특별자치도 강릉시 견소동 186-1,강원특별자치도 강릉시_분전함_20230820.csv,70
GN-CTL-0b187a0444,gangneung,GN-CAB-0b187a0444,KNC,YB,29,0,GMC-200S,3,29,-20.0,5.0,220.0,1,1,37.7726162,128.9458749,강원특별자치도 강릉시 견소동 186-1,강원특별자치도 강릉시_분전함_20230820.csv,71
GN-CTL-51fc7c84aa,gangneung,GN-CAB-51fc7c84aa,KNI,YB,30,0,GMC-200,3,30,-15.0,10.0,220.0,1,100,37.7503928,128.8957527,강원특별자치도 강릉시 성남동 227-3,강원특별자치도 강릉시_분전함_20230820.csv,72
GN-CTL-c06bfc4333,gangneung,GN-CAB-c06bfc4333,KNC,YB,30,0,GMC-200S,3,30,-20.0,5.0,220.0,1,60,37.7503928,128.8957527,강원특별자치도 강릉시 성남동 227-3,강원특별자치도 강릉시_분전함_20230820.csv,73
GN-CTL-d370cc4f90,gangneung,GN-CAB-d370cc4f90,KNI,YB,31,0,GMC-200,3,31,-15.0,10.0,220.0,1,100,37.74834,128.8931861,강원특별자치도 강릉시 내곡동 607-1,강원특별자치도 강릉시_분전함_20230820.csv,74
GN-CTL-a373d1547d,gangneung,GN-CAB-a373d1547d,KNC,YB,31,0,GMC-200S,3,31,-20.0,5.0,220.0,0,60,37.7487158,128.8943935,강원특별자치도 강릉시 노암동 825-2,강원특별자치도 강릉시_분전함_20230820.csv,75
GN-CTL-aa8b17e282,gangneung,GN-CAB-aa8b17e282,KNI,YB,32,0,GMC-200,3,32,-15.0,10.0,220.0,1,100,37.89362,128.8240175,강원특별자치도 강릉시 주문진읍 주문리 336-6,강원특별자치도 강릉시_분전함_20230820.csv,76
GN-CTL-060b49560a,gangneung,GN-CAB-060b49560a,KNC,YB,32,0,GMC-200S,3,32,-20.0,5.0,220.0,1,5,37.8935934,128.8240256,강원특별자치도 강릉시 주문진읍 주문리 1047-6,강원특별자치도 강릉시_분전함_20230820.csv,77
GN-CTL-da0992126c,gangneung,GN-CAB-da0992126c,KNC,YB,33,0,GMC-200S,3,33,-20.0,5.0,220.0,1,10,37.8883133,128.8246544,강원특별자치도 강릉시 주문진읍 교항리 207-5,강원특별자치도 강릉시_분전함_20230820.csv,78
GN-CTL-53f13c9481,gangneung,GN-CAB-53f13c9481,KNI,YB,33,0,GMC-200,3,33,-15.0,10.0,220.0,1,10,37.8883357,128.8246406,강원특별자치도 강릉시 주문진읍 교항리 207-1,강원특별자치도 강릉시_분전함_20230820.csv,79
GN-CTL-5068b44456,gangneung,GN-CAB-5068b44456,KNC,YB,34,0,GMC-200N,3,34,-20.0,5.0,220.0,0,60,37.7558288,128.9160081,강원특별자치도 강릉시 입암동 279-15,강원특별자치도 강릉시_분전함_20230820.csv,80
GN-CTL-5f36cc4ab5,gangneung,GN-CAB-5f36cc4ab5,KNI,YB,34,0,GMC-200N,3,34,-15.0,5.0,220.0,0,10,37.7558288,128.9160081,강원특별자치도 강릉시 입암동 279-15,강원특별자치도 강릉시_분전함_20230820.csv,81
GN-CTL-988976fcfd,gangneung,GN-CAB-988976fcfd,KNI,YB,35,0,GMC-200N,3,35,-15.0,5.0,220.0,0,10,37.7558263,128.9157949,강원특별자치도 강릉시 입암동 279-15,강원특별자치도 강릉시_분전함_20230820.csv,82
GN-CTL-9a946253f9,gangneung,GN-CAB-9a946253f9,KNC,YB,35,0,GMC-200N,3,35,-20.0,5.0,220.0,0,60,37.7558263,128.9157949,강원특별자치도 강릉시 입암동 279-15,강원특별자치도 강릉시_분전함_20230820.csv,83
GN-CTL-5118a010cb,gangneung,GN-CAB-5118a010cb,KNC,YB,36,0,GMC-200S,3,36,-20.0,5.0,220.0,1,60,37.8058237,128.9074837,강원특별자치도 강릉시 안현동 89-66,강원특별자치도 강릉시_분전함_20230820.csv,84
GN-CTL-f988e99890,gangneung,GN-CAB-f988e99890,KNI,YB,36,0,GMC-200,3,36,-20.0,10.0,220.0,1,60,37.8058237,128.9074837,강원특별자치도 강릉시 안현동 89-66,강원특별자치도 강릉시_분전함_20230820.csv,85
