case_id,score_M2,weather_modifier,score_M3,rank_M2,rank_M3,rank_delta
CTRL-SY-CAB-8d99d72371,0.0,0.0,0.0,128,128,0
CTRL-SY-CAB-8e6b212e60,0.0,0.0,0.0,129,129,0
CTRL-SY-CAB-8f5ef9ce69,0.0,0.0,0.0,130,130,0
CTRL-SY-CAB-91a790ee47,0.0,0.0,0.0,131,131,0
CTRL-SY-CAB-92de49aa37,0.0,0.0,0.0,132,132,0
CTRL-SY-CAB-92eb2e5b2c,0.0,0.0,0.0,133,133,0
CTRL-SY-CAB-933e0543f6,0.0,0.0,0.0,134,134,0
CTRL-SY-CAB-937deb1a4d,0.0,0.0,0.0,135,135,0
CTRL-SY-CAB-9475205fe5,0.0,0.0,0.0,136,136,0
CTRL-SY-CAB-963cc46567,0.0,0.0,0.0,137,137,0
CTRL-SY-CAB-966875a63c,0.0,0.0,0.0,138,138,0
CTRL-SY-CAB-9757f5ca46,0.0,0.0,0.0,139,139,0
CTRL-SY-CAB-9a1335b0c3,0.0,0.0,0.0,140,140,0
CTRL-SY-CAB-9a4fcd9616,0.0,0.0,0.0,141,141,0
CTRL-SY-CAB-9b16398af5,0.0,0.0,0.0,142,142,0
CTRL-SY-CAB-9f97df4c82,0.0,0.0,0.0,143,143,0
CTRL-SY-CAB-9fec55c536,0.0,0.0,0.0,144,144,0
CTRL-SY-CAB-a42a4f4e8d,0.0,0.0,0.0,145,145,0
CTRL-SY-CAB-a68df7d176,0.0,0.0,0.0,146,146,0
CTRL-SY-CAB-a715479152,0.0,0.0,0.0,147,147,0
CTRL-SY-CAB-a96e62a3bc,0.0,0.0,0.0,148,148,0
CTRL-SY-CAB-a9d5cc164f,0.0,0.0,0.0,149,149,0
CTRL-SY-CAB-aec1bf9469,0.0,0.0,0.0,150,150,0
CTRL-SY-CAB-aec7dd5eb0,0.0,0.0,0.0,151,151,0
CTRL-SY-CAB-aedca82d53,0.0,0.0,0.0,152,152,0
CTRL-SY-CAB-b1ddd2bdb1,0.0,0.0,0.0,153,153,0
CTRL-SY-CAB-b30f5cbde4,0.0,0.0,0.0,154,154,0
CTRL-SY-CAB-b32bddb84c,0.0,0.0,0.0,155,155,0
CTRL-SY-CAB-b47e8f9727,0.0,0.0,0.0,156,156,0
CTRL-SY-CAB-b67fa2d367,0.0,0.0,0.0,157,157,0
CTRL-SY-CAB-b70f9ee7e7,0.0,0.0,0.0,158,158,0
CTRL-SY-CAB-b7ab059f4f,0.0,0.0,0.0,159,159,0
CTRL-SY-CAB-b7da6f9acf,0.0,0.0,0.0,160,160,0
CTRL-SY-CAB-b86f498cc3,0.0,0.0,0.0,161,161,0
CTRL-SY-CAB-b8be8cec6d,0.0,0.0,0.0,162,162,0
CTRL-SY-CAB-bc70898630,0.0,0.0,0.0,163,163,0
CTRL-SY-CAB-be62abcbf5,0.0,0.0,0.0,164,164,0
CTRL-SY-CAB-bee6a8d850,0.0,0.0,0.0,165,165,0
CTRL-SY-CAB-c181d62281,0.0,0.0,0.0,166,166,0
CTRL-SY-CAB-c3d2aa0721,0.0,0.0,0.0,167,167,0
CTRL-SY-CAB-c4dd5df0e5,0.0,0.0,0.0,168,168,0
CTRL-SY-CAB-c5506ce2f7,0.0,0.0,0.0,169,169,0
CTRL-SY-CAB-c571e98945,0.0,0.0,0.0,170,170,0
CTRL-SY-CAB-c6be2c6456,0.0,0.0,0.0,171,171,0
CTRL-SY-CAB-c8c6110f22,0.0,0.0,0.0,172,172,0
CTRL-SY-CAB-c9a6edb47e,0.0,0.0,0.0,173,173,0
CTRL-SY-CAB-ca98038b60,0.0,0.0,0.0,174,174,0
CTRL-SY-CAB-caf55e3126,0.0,0.0,0.0,175,175,0
CTRL-SY-CAB-cf229f9f07,0.0,0.0,0.0,176,176,0
CTRL-SY-CAB-cfd6ffef71,0.0,0.0,0.0,177,177,0
CTRL-SY-CAB-d1f531bd7e,0.0,0.0,0.0,178,178,0
CTRL-SY-CAB-d24a2598cf,0.0,0.0,0.0,179,179,0
CTRL-SY-CAB-d3316300a8,0.0,0.0,0.0,180,180,0
CTRL-SY-CAB-d39b98ce61,0.0,0.0,0.0,181,181,0
CTRL-SY-CAB-d47a90f94c,0.0,0.0,0.0,182,182,0
CTRL-SY-CAB-d5dc4a7bb3,0.0,0.0,0.0,183,183,0
CTRL-SY-CAB-d6b5d53967,0.0,0.0,0.0,184,184,0
CTRL-SY-CAB-d737cbd16d,0.0,0.0,0.0,185,185,0
CTRL-SY-CAB-e0188b6a4c,0.0,0.0,0.0,186,186,0
CTRL-SY-CAB-e15575ce71,0.0,0.0,0.0,187,187,0
CTRL-SY-CAB-e20a3be758,0.0,0.0,0.0,188,188,0
CTRL-SY-CAB-e263d3fdfa,0.0,0.0,0.0,189,189,0
CTRL-SY-CAB-e427dc3ca2,0.0,0.0,0.0,190,190,0
CTRL-SY-CAB-e583f354ec,0.0,0.0,0.0,191,191,0
CTRL-SY-CAB-e6b12e7489,0.0,0.0,0.0,192,192,0
CTRL-SY-CAB-ea4a11ca87,0.0,0.0,0.0,193,193,0
CTRL-SY-CAB-ef9bc6cf08,0.0,0.0,0.0,194,194,0
CTRL-SY-CAB-f1dba229cb,0.0,0.0,0.0,195,195,0
CTRL-SY-CAB-f29edc0522,0.0,0.0,0.0,196,196,0
CTRL-SY-CAB-f3764d2d5a,0.0,0.0,0.0,197,197,0
CTRL-SY-CAB-f4d9b96a9a,0.0,0.0,0.0,198,198,0
CTRL-SY-CAB-f68f465c9b,0.0,0.0,0.0,199,199,0
CTRL-SY-CAB-f7cde5aa3d,0.0,0.0,0.0,200,200,0
CTRL-SY-CAB-fa5d1e9798,0.0,0.0,0.0,201,201,0
CTRL-SY-CAB-fdda50350c,0.0,0.0,0.0,202,202,0
CTRL-SY-CAB-fe173da917,0.0,0.0,0.0,203,203,0
CTRL-SY-CAB-ff023a997e,0.0,0.0,0.0,204,204,0
