search_rank,activation,duration,load,phase,solar_penalty,transient_penalty,policy_penalty,weather,threshold,anomaly_recall,normal_fpr,inspection_candidate_count,normal_false_positive_count,precision_at_5,recall_at_5,precision_at_10,recall_at_10,precision_at_20,recall_at_20,average_precision,ndcg_at_10,ndcg_at_20,objective_frozen
27,0.6,0.15,0.25,0.1,0.2,0.2,0.2,0.1,0.45,0.9833333333333333,0.016666666666666666,61,2,1.0,0.08333333333333333,1.0,0.16666666666666666,1.0,0.3333333333333333,0.9984848484848484,1.0,1.0,recall >= 0.98; minimize normal FPR; maximize P@10 then P@20 then NDCG@10; minimize candidates and complexity
28,0.6,0.15,0.25,0.1,0.2,0.35,0.2,0.0,0.45,0.9833333333333333,0.016666666666666666,61,2,1.0,0.08333333333333333,1.0,0.16666666666666666,1.0,0.3333333333333333,0.998171500630517,1.0,1.0,recall >= 0.98; minimize normal FPR; maximize P@10 then P@20 then NDCG@10; minimize candidates and complexity
29,0.6,0.15,0.25,0.1,0.2,0.2,0.35,0.0,0.45,0.9833333333333333,0.016666666666666666,61,2,1.0,0.08333333333333333,1.0,0.16666666666666666,1.0,0.3333333333333333,0.9970725995316159,1.0,1.0,recall >= 0.98; minimize normal FPR; maximize P@10 then P@20 then NDCG@10; minimize candidates and complexity
30,0.6,0.15,0.25,0.1,0.35,0.2,0.2,0.0,0.45,0.9833333333333333,0.016666666666666666,61,2,1.0,0.08333333333333333,1.0,0.16666666666666666,1.0,0.3333333333333333,0.99727963886909,1.0,1.0,recall >= 0.98; minimize normal FPR; maximize P@10 then P@20 then NDCG@10; minimize candidates and complexity
31,0.6,0.15,0.25,0.1,0.2,0.2,0.35,0.05,0.45,0.9833333333333333,0.016666666666666666,61,2,1.0,0.08333333333333333,1.0,0.16666666666666666,1.0,0.3333333333333333,0.9980392156862745,1.0,1.0,recall >= 0.98; minimize normal FPR; maximize P@10 then P@20 then NDCG@10; minimize candidates and complexity
32,0.6,0.15,0.25,0.1,0.2,0.35,0.2,0.05,0.45,0.9833333333333333,0.016666666666666666,61,2,1.0,0.08333333333333333,1.0,0.16666666666666666,1.0,0.3333333333333333,0.9992063492063491,1.0,1.0,recall >= 0.98; minimize normal FPR; maximize P@10 then P@20 then NDCG@10; minimize candidates and complexity
33,0.6,0.15,0.25,0.1,0.35,0.2,0.2,0.05,0.45,0.9833333333333333,0.016666666666666666,61,2,1.0,0.08333333333333333,1.0,0.16666666666666666,1.0,0.3333333333333333,0.9982587064676617,1.0,1.0,recall >= 0.98; minimize normal FPR; maximize P@10 then P@20 then NDCG@10; minimize candidates and complexity
34,0.6,0.15,0.25,0.1,0.2,0.35,0.2,0.1,0.45,0.9833333333333333,0.016666666666666666,61,2,1.0,0.08333333333333333,1.0,0.16666666666666666,1.0,0.3333333333333333,0.9997267759562842,1.0,1.0,recall >= 0.98; minimize normal FPR; maximize P@10 then P@20 then NDCG@10; minimize candidates and complexity
35,0.6,0.15,0.25,0.1,0.2,0.2,0.35,0.1,0.45,0.9833333333333333,0.016666666666666666,61,2,1.0,0.08333333333333333,1.0,0.16666666666666666,1.0,0.3333333333333333,0.9984848484848484,1.0,1.0,recall >= 0.98; minimize normal FPR; maximize P@10 then P@20 then NDCG@10; minimize candidates and complexity
36,0.6,0.15,0.25,0.1,0.35,0.2,0.2,0.1,0.45,0.9833333333333333,0.016666666666666666,61,2,1.0,0.08333333333333333,1.0,0.16666666666666666,1.0,0.3333333333333333,0.9987179487179486,1.0,1.0,recall >= 0.98; minimize normal FPR; maximize P@10 then P@20 then NDCG@10; minimize candidates and complexity
37,0.6,0.15,0.25,0.1,0.2,0.35,0.35,0.0,0.45,0.9833333333333333,0.016666666666666666,61,2,1.0,0.08333333333333333,1.0,0.16666666666666666,1.0,0.3333333333333333,0.998171500630517,1.0,1.0,recall >= 0.98; minimize normal FPR; maximize P@10 then P@20 then NDCG@10; minimize candidates and complexity
38,0.6,0.15,0.25,0.1,0.35,0.2,0.35,0.0,0.45,0.9833333333333333,0.016666666666666666,61,2,1.0,0.08333333333333333,1.0,0.16666666666666666,1.0,0.3333333333333333,0.99727963886909,1.0,1.0,recall >= 0.98; minimize normal FPR; maximize P@10 then P@20 then NDCG@10; minimize candidates and complexity
39,0.6,0.15,0.25,0.1,0.35,0.35,0.2,0.0,0.45,0.9833333333333333,0.016666666666666666,61,2,1.0,0.08333333333333333,1.0,0.16666666666666666,1.0,0.3333333333333333,0.9984118852459016,1.0,1.0,recall >= 0.98; minimize normal FPR; maximize P@10 then P@20 then NDCG@10; minimize candidates and complexity
40,0.6,0.15,0.25,0.1,0.2,0.35,0.35,0.05,0.45,0.9833333333333333,0.016666666666666666,61,2,1.0,0.08333333333333333,1.0,0.16666666666666666,1.0,0.3333333333333333,0.9992063492063491,1.0,1.0,recall >= 0.98; minimize normal FPR; maximize P@10 then P@20 then NDCG@10; minimize candidates and complexity
41,0.6,0.15,0.25,0.1,0.35,0.2,0.35,0.05,0.45,0.9833333333333333,0.016666666666666666,61,2,1.0,0.08333333333333333,1.0,0.16666666666666666,1.0,0.3333333333333333,0.9982587064676617,1.0,1.0,recall >= 0.98; minimize normal FPR; maximize P@10 then P@20 then NDCG@10; minimize candidates and complexity
42,0.6,0.15,0.25,0.1,0.35,0.35,0.2,0.05,0.45,0.9833333333333333,0.016666666666666666,61,2,1.0,0.08333333333333333,1.0,0.16666666666666666,1.0,0.3333333333333333,0.9994623655913979,1.0,1.0,recall >= 0.98; minimize normal FPR; maximize P@10 then P@20 then NDCG@10; minimize candidates and complexity
43,0.6,0.15,0.25,0.1,0.2,0.35,0.35,0.1,0.45,0.9833333333333333,0.016666666666666666,61,2,1.0,0.08333333333333333,1.0,0.16666666666666666,1.0,0.3333333333333333,0.9997267759562842,1.0,1.0,recall >= 0.98; minimize normal FPR; maximize P@10 then P@20 then NDCG@10; minimize candidates and complexity
44,0.6,0.15,0.25,0.1,0.35,0.2,0.35,0.1,0.45,0.9833333333333333,0.016666666666666666,61,2,1.0,0.08333333333333333,1.0,0.16666666666666666,1.0,0.3333333333333333,0.9987179487179486,1.0,1.0,recall >= 0.98; minimize normal FPR; maximize P@10 then P@20 then NDCG@10; minimize candidates and complexity
45,0.6,0.15,0.25,0.1,0.35,0.35,0.2,0.1,0.45,0.9833333333333333,0.016666666666666666,61,2,1.0,0.08333333333333333,1.0,0.16666666666666666,1.0,0.3333333333333333,1.0,1.0,1.0,recall >= 0.98; minimize normal FPR; maximize P@10 then P@20 then NDCG@10; minimize candidates and complexity
46,0.6,0.15,0.25,0.1,0.35,0.35,0.35,0.0,0.45,0.9833333333333333,0.016666666666666666,61,2,1.0,0.08333333333333333,1.0,0.16666666666666666,1.0,0.3333333333333333,0.9984118852459016,1.0,1.0,recall >= 0.98; minimize normal FPR; maximize P@10 then P@20 then NDCG@10; minimize candidates and complexity
47,0.6,0.15,0.25,0.1,0.35,0.35,0.35,0.05,0.45,0.9833333333333333,0.016666666666666666,61,2,1.0,0.08333333333333333,1.0,0.16666666666666666,1.0,0.3333333333333333,0.9994623655913979,1.0,1.0,recall >= 0.98; minimize normal FPR; maximize P@10 then P@20 then NDCG@10; minimize candidates and complexity
48,0.6,0.15,0.25,0.1,0.35,0.35,0.35,0.1,0.45,0.9833333333333333,0.016666666666666666,61,2,1.0,0.08333333333333333,1.0,0.16666666666666666,1.0,0.3333333333333333,1.0,1.0,1.0,recall >= 0.98; minimize normal FPR; maximize P@10 then P@20 then NDCG@10; minimize candidates and complexity
49,0.45,0.25,0.25,0.1,0.2,0.2,0.2,0.0,0.45,0.9833333333333333,0.025,62,3,1.0,0.08333333333333333,1.0,0.16666666666666666,1.0,0.3333333333333333,0.9973685581998715,1.0,1.0,recall >= 0.98; minimize normal FPR; maximize P@10 then P@20 then NDCG@10; minimize candidates and complexity
50,0.45,0.25,0.25,0.1,0.2,0.2,0.2,0.05,0.45,0.9833333333333333,0.025,62,3,1.0,0.08333333333333333,1.0,0.16666666666666666,1.0,0.3333333333333333,0.9987179487179486,1.0,1.0,recall >= 0.98; minimize normal FPR; maximize P@10 then P@20 then NDCG@10; minimize candidates and complexity
