audit_type,model,case_id,cabinet_uid,rank,total_score,control_type,activation,duration_min,solar_context,expected_load_kw,lamp_count,weather_context,score_ami,score_duration,score_solar,score_asset,score_weather
low_ranked_anomaly,M3,ANOM-SY-CAB-245507b8f2,SY-CAB-245507b8f2,43,0.2,,0.2,105,daytime,3.855,26,"{""cloud_amount"": 0.0, ""precipitation"": null, ""solar_radiation"": 0.47, ""source"": ""KMA_ASOS_HOURLY_OFFICIAL"", ""timestamp"": ""2026-01-14 09:00""}",0.2,-0.0,0.0,0.0,0.0
low_ranked_anomaly,M3,ANOM-SY-CAB-2665e30f6b,SY-CAB-2665e30f6b,44,0.2,,0.2,105,daytime,2.92,20,"{""cloud_amount"": 0.0, ""precipitation"": null, ""solar_radiation"": 0.47, ""source"": ""KMA_ASOS_HOURLY_OFFICIAL"", ""timestamp"": ""2026-01-14 09:00""}",0.2,-0.0,0.0,0.0,0.0
low_ranked_anomaly,M3,ANOM-SY-CAB-3c6861d396,SY-CAB-3c6861d396,45,0.2,,0.2,105,daytime,3.95,35,"{""cloud_amount"": 0.0, ""precipitation"": null, ""solar_radiation"": 0.47, ""source"": ""KMA_ASOS_HOURLY_OFFICIAL"", ""timestamp"": ""2026-01-14 09:00""}",0.2,-0.0,0.0,0.0,0.0
low_ranked_anomaly,M3,ANOM-SY-CAB-4701a959c6,SY-CAB-4701a959c6,46,0.2,,0.2,105,daytime,2.95,23,"{""cloud_amount"": 0.0, ""precipitation"": null, ""solar_radiation"": 0.47, ""source"": ""KMA_ASOS_HOURLY_OFFICIAL"", ""timestamp"": ""2026-01-14 09:00""}",0.2,-0.0,0.0,0.0,0.0
low_ranked_anomaly,M3,ANOM-SY-CAB-50177e52f5,SY-CAB-50177e52f5,47,0.2,,0.2,105,daytime,3.9,65,"{""cloud_amount"": 0.0, ""precipitation"": null, ""solar_radiation"": 0.47, ""source"": ""KMA_ASOS_HOURLY_OFFICIAL"", ""timestamp"": ""2026-01-14 09:00""}",0.2,-0.0,0.0,0.0,0.0
low_ranked_anomaly,M3,ANOM-SY-CAB-5643046ecf,SY-CAB-5643046ecf,48,0.2,,0.2,105,daytime,2.94,33,"{""cloud_amount"": 0.0, ""precipitation"": null, ""solar_radiation"": 0.47, ""source"": ""KMA_ASOS_HOURLY_OFFICIAL"", ""timestamp"": ""2026-01-14 09:00""}",0.2,-0.0,0.0,0.0,0.0
low_ranked_anomaly,M3,ANOM-SY-CAB-5712016b2e,SY-CAB-5712016b2e,49,0.2,,0.2,105,daytime,2.85,19,"{""cloud_amount"": 0.0, ""precipitation"": null, ""solar_radiation"": 0.47, ""source"": ""KMA_ASOS_HOURLY_OFFICIAL"", ""timestamp"": ""2026-01-14 09:00""}",0.2,-0.0,0.0,0.0,0.0
low_ranked_anomaly,M3,ANOM-SY-CAB-66c30ac282,SY-CAB-66c30ac282,50,0.2,,0.2,105,daytime,2.955,27,"{""cloud_amount"": 0.0, ""precipitation"": null, ""solar_radiation"": 0.47, ""source"": ""KMA_ASOS_HOURLY_OFFICIAL"", ""timestamp"": ""2026-01-14 09:00""}",0.2,-0.0,0.0,0.0,0.0
low_ranked_anomaly,M3,ANOM-SY-CAB-69005e730c,SY-CAB-69005e730c,51,0.2,,0.2,105,daytime,2.835,21,"{""cloud_amount"": 0.0, ""precipitation"": null, ""solar_radiation"": 0.47, ""source"": ""KMA_ASOS_HOURLY_OFFICIAL"", ""timestamp"": ""2026-01-14 09:00""}",0.2,-0.0,0.0,0.0,0.0
low_ranked_anomaly,M3,ANOM-SY-CAB-715b5f5216,SY-CAB-715b5f5216,52,0.2,,0.2,105,daytime,3.985,30,"{""cloud_amount"": 0.0, ""precipitation"": null, ""solar_radiation"": 0.47, ""source"": ""KMA_ASOS_HOURLY_OFFICIAL"", ""timestamp"": ""2026-01-14 09:00""}",0.2,-0.0,0.0,0.0,0.0
low_ranked_anomaly,M3,ANOM-SY-CAB-84f0d25e33,SY-CAB-84f0d25e33,53,0.2,,0.2,105,daytime,3.89,27,"{""cloud_amount"": 0.0, ""precipitation"": null, ""solar_radiation"": 0.47, ""source"": ""KMA_ASOS_HOURLY_OFFICIAL"", ""timestamp"": ""2026-01-14 09:00""}",0.2,-0.0,0.0,0.0,0.0
low_ranked_anomaly,M3,ANOM-SY-CAB-987a63343c,SY-CAB-987a63343c,54,0.2,,0.2,105,daytime,2.915,22,"{""cloud_amount"": 0.0, ""precipitation"": null, ""solar_radiation"": 0.47, ""source"": ""KMA_ASOS_HOURLY_OFFICIAL"", ""timestamp"": ""2026-01-14 09:00""}",0.2,-0.0,0.0,0.0,0.0
low_ranked_anomaly,M3,ANOM-SY-CAB-d6a63b2385,SY-CAB-d6a63b2385,55,0.2,,0.2,105,daytime,2.8,20,"{""cloud_amount"": 0.0, ""precipitation"": null, ""solar_radiation"": 0.47, ""source"": ""KMA_ASOS_HOURLY_OFFICIAL"", ""timestamp"": ""2026-01-14 09:00""}",0.2,-0.0,0.0,0.0,0.0
low_ranked_anomaly,M3,ANOM-SY-CAB-e2da04e0e2,SY-CAB-e2da04e0e2,56,0.2,,0.2,105,daytime,4.0,33,"{""cloud_amount"": 0.0, ""precipitation"": null, ""solar_radiation"": 0.47, ""source"": ""KMA_ASOS_HOURLY_OFFICIAL"", ""timestamp"": ""2026-01-14 09:00""}",0.2,-0.0,0.0,0.0,0.0
